uid,time,trade_id,price,amount,exchange,instrmnt,vol_dllr,sell2,Class,Asset,datetime,year,hour
89452469,1660521984000.0,60073402,8.944,2.1362200000000002,polo,dot-usdt,19.106351680000003,0.0,spot,dot,2022-08-15 00:06:24,2022,0
89452470,1660522000000.0,60073403,8.952,0.8760100000000001,polo,dot-usdt,7.84204152,0.0,spot,dot,2022-08-15 00:06:40,2022,0
89452471,1660522006000.0,60073404,8.952,2.79259,polo,dot-usdt,24.99926568,0.0,spot,dot,2022-08-15 00:06:46,2022,0
89452472,1660522006000.0,60073405,8.952,2.80613,polo,dot-usdt,25.12047576,0.0,spot,dot,2022-08-15 00:06:46,2022,0
89452473,1660522014000.0,60073406,8.945,2.3467599999999997,polo,dot-usdt,20.9917682,0.0,spot,dot,2022-08-15 00:06:54,2022,0
89452474,1660522019000.0,60073407,8.948,3.0683199999999995,polo,dot-usdt,27.45532736,0.0,spot,dot,2022-08-15 00:06:59,2022,0
89452475,1660522023000.0,60073408,8.944,6.3178600000000005,polo,dot-usdt,56.50693984000001,0.0,spot,dot,2022-08-15 00:07:03,2022,0
89452476,1660522028000.0,60073409,8.943,1.9796900000000002,polo,dot-usdt,17.70436767,0.0,spot,dot,2022-08-15 00:07:08,2022,0
89452477,1660522030000.0,60073410,8.942,0.94099,polo,dot-usdt,8.41433258,0.0,spot,dot,2022-08-15 00:07:10,2022,0
89452478,1660522037000.0,60073411,8.947,2.6900500000000003,polo,dot-usdt,24.06787735,0.0,spot,dot,2022-08-15 00:07:17,2022,0
89452479,1660522071000.0,60073412,8.947,6.2291300000000005,polo,dot-usdt,55.73202611,0.0,spot,dot,2022-08-15 00:07:51,2022,0
89452480,1660522071000.0,60073413,8.94,0.80481,polo,dot-usdt,7.1950014,0.0,spot,dot,2022-08-15 00:07:51,2022,0
89452481,1660522075000.0,60073414,8.943,3.01542,polo,dot-usdt,26.96690106,0.0,spot,dot,2022-08-15 00:07:55,2022,0
89452482,1660522077000.0,60073415,8.943,0.14098,polo,dot-usdt,1.26078414,0.0,spot,dot,2022-08-15 00:07:57,2022,0
89452483,1660522077000.0,60073416,8.939,2.59852,polo,dot-usdt,23.22817028,0.0,spot,dot,2022-08-15 00:07:57,2022,0
89452484,1660522110000.0,60073417,8.945,7.80348,polo,dot-usdt,69.8021286,0.0,spot,dot,2022-08-15 00:08:30,2022,0
89452485,1660522115000.0,60073418,8.942,5.310899999999999,polo,dot-usdt,47.49006779999999,0.0,spot,dot,2022-08-15 00:08:35,2022,0
89452486,1660522132000.0,60073419,8.945,7.99867,polo,dot-usdt,71.54810315,0.0,spot,dot,2022-08-15 00:08:52,2022,0
89452487,1660522136000.0,60073420,8.942,5.76445,polo,dot-usdt,51.5457119,0.0,spot,dot,2022-08-15 00:08:56,2022,0
