uid,time,trade_id,price,amount,exchange,instrmnt,vol_dllr,sell2,Class,Asset,datetime,year,hour
89464912,1660523380000.0,60094667,0.07017,664.461,polo,trx-usdt,46.625228369999995,0.0,spot,trx,2022-08-15 00:29:40,2022,0
89464913,1660523394000.0,60094668,0.07018,197.73499999999999,polo,trx-usdt,13.8770423,0.0,spot,trx,2022-08-15 00:29:54,2022,0
89464914,1660523395000.0,60094669,0.07017,732.5720000000001,polo,trx-usdt,51.40457724000001,0.0,spot,trx,2022-08-15 00:29:55,2022,0
89464915,1660523410000.0,60094670,0.07017,295.80300000000005,polo,trx-usdt,20.75649651,0.0,spot,trx,2022-08-15 00:30:10,2022,0
89464916,1660523413000.0,60094671,0.07018,216.73,polo,trx-usdt,15.2101114,0.0,spot,trx,2022-08-15 00:30:13,2022,0
89464917,1660523425000.0,60094672,0.07017,282.657,polo,trx-usdt,19.83404169,0.0,spot,trx,2022-08-15 00:30:25,2022,0
89464918,1660523441000.0,60094673,0.07017,215.79000000000002,polo,trx-usdt,15.1419843,0.0,spot,trx,2022-08-15 00:30:41,2022,0
89464919,1660523452000.0,60094674,0.07018,225.89499999999995,polo,trx-usdt,15.853311099999997,0.0,spot,trx,2022-08-15 00:30:52,2022,0
89464920,1660523457000.0,60094675,0.07018,41.62799999999999,polo,trx-usdt,2.92145304,0.0,spot,trx,2022-08-15 00:30:57,2022,0
89464921,1660523477000.0,60094676,0.07017,304.266,polo,trx-usdt,21.35034522,0.0,spot,trx,2022-08-15 00:31:17,2022,0
89464922,1660523491000.0,60094677,0.07018,275.37699999999995,polo,trx-usdt,19.32595786,0.0,spot,trx,2022-08-15 00:31:31,2022,0
89464923,1660523506000.0,60094678,0.07018,431.05699999999996,polo,trx-usdt,30.25158026,0.0,spot,trx,2022-08-15 00:31:46,2022,0
89464924,1660523519000.0,60094679,0.0702,237.265,polo,trx-usdt,16.656003,0.0,spot,trx,2022-08-15 00:31:59,2022,0
89464925,1660523521000.0,60094680,0.07019,476.794,polo,trx-usdt,33.46617086,0.0,spot,trx,2022-08-15 00:32:01,2022,0
89464926,1660523663000.0,60094681,0.07033,76.0,polo,trx-usdt,5.34508,0.0,spot,trx,2022-08-15 00:34:23,2022,0
89464927,1660523720000.0,60094682,0.07036,147.105,polo,trx-usdt,10.3503078,0.0,spot,trx,2022-08-15 00:35:20,2022,0
89464928,1660523894000.0,60094683,0.0704,326.691,polo,trx-usdt,22.9990464,0.0,spot,trx,2022-08-15 00:38:14,2022,0
89464929,1660523947000.0,60094684,0.0704,242.646,polo,trx-usdt,17.0822784,0.0,spot,trx,2022-08-15 00:39:07,2022,0
89464930,1660523958000.0,60094685,0.0704,233.00599999999997,polo,trx-usdt,16.4036224,0.0,spot,trx,2022-08-15 00:39:18,2022,0
89464931,1660523967000.0,60094686,0.07041,174.943,polo,trx-usdt,12.31773663,0.0,spot,trx,2022-08-15 00:39:27,2022,0
89464932,1660523984000.0,60094687,0.07041,260.834,polo,trx-usdt,18.36532194,0.0,spot,trx,2022-08-15 00:39:44,2022,0
89464933,1660524069000.0,60094688,0.07038,106.655,polo,trx-usdt,7.5063789,0.0,spot,trx,2022-08-15 00:41:09,2022,0
89464934,1660524074000.0,60094689,0.0706,90.903,polo,trx-usdt,6.4177518000000005,0.0,spot,trx,2022-08-15 00:41:14,2022,0
89464935,1660524076000.0,60094690,0.07024,9278.977,polo,trx-usdt,651.7553444800001,0.0,spot,trx,2022-08-15 00:41:16,2022,0
89464936,1660524076000.0,60094691,0.07024,0.001,polo,trx-usdt,7.023999999999999e-05,0.0,spot,trx,2022-08-15 00:41:16,2022,0
89464937,1660524084000.0,60094692,0.07049,5891.081,polo,trx-usdt,415.26229969,0.0,spot,trx,2022-08-15 00:41:24,2022,0
89464938,1660524085000.0,60094693,0.0705,121.733,polo,trx-usdt,8.5821765,0.0,spot,trx,2022-08-15 00:41:25,2022,0
89464939,1660524085000.0,60094694,0.0705,243.119,polo,trx-usdt,17.1398895,0.0,spot,trx,2022-08-15 00:41:25,2022,0
89464940,1660524099000.0,60094695,0.07047,4708.44,polo,trx-usdt,331.8037668,0.0,spot,trx,2022-08-15 00:41:39,2022,0
89464941,1660524106000.0,60094696,0.07049,87.28,polo,trx-usdt,6.1523672,0.0,spot,trx,2022-08-15 00:41:46,2022,0
89464942,1660524106000.0,60094697,0.0705,8685.338000000002,polo,trx-usdt,612.316329,0.0,spot,trx,2022-08-15 00:41:46,2022,0
89464943,1660524113000.0,60094698,0.07055,5746.684,polo,trx-usdt,405.4285562,0.0,spot,trx,2022-08-15 00:41:53,2022,0
89464944,1660524114000.0,60094699,0.07055,35.35,polo,trx-usdt,2.4939425,0.0,spot,trx,2022-08-15 00:41:54,2022,0
89464945,1660524122000.0,60094700,0.0705,6037.822,polo,trx-usdt,425.666451,0.0,spot,trx,2022-08-15 00:42:02,2022,0
89464946,1660524131000.0,60094701,0.0705,20.268000000000004,polo,trx-usdt,1.428894,0.0,spot,trx,2022-08-15 00:42:11,2022,0
89464947,1660524135000.0,60094702,0.07062,19.802999999999997,polo,trx-usdt,1.39848786,0.0,spot,trx,2022-08-15 00:42:15,2022,0
89464948,1660524225000.0,60094703,0.07051,10224.108,polo,trx-usdt,720.90185508,0.0,spot,trx,2022-08-15 00:43:45,2022,0
89464949,1660524232000.0,60094704,0.07055,4721.492,polo,trx-usdt,333.10126060000005,0.0,spot,trx,2022-08-15 00:43:52,2022,0
89464950,1660524261000.0,60094705,0.07051,359.55,polo,trx-usdt,25.3518705,0.0,spot,trx,2022-08-15 00:44:21,2022,0
89464951,1660524263000.0,60094706,0.07049,120.503,polo,trx-usdt,8.49425647,0.0,spot,trx,2022-08-15 00:44:23,2022,0
89464952,1660524278000.0,60094707,0.07046,8947.822,polo,trx-usdt,630.46353812,0.0,spot,trx,2022-08-15 00:44:38,2022,0
89464953,1660524294000.0,60094708,0.07046,313.872,polo,trx-usdt,22.11542112,0.0,spot,trx,2022-08-15 00:44:54,2022,0
89464954,1660524434000.0,60094709,0.07045,9282.784000000001,polo,trx-usdt,653.9721328,0.0,spot,trx,2022-08-15 00:47:14,2022,0
89464955,1660524438000.0,60094710,0.07046,200.43300000000002,polo,trx-usdt,14.12250918,0.0,spot,trx,2022-08-15 00:47:18,2022,0
89464956,1660524441000.0,60094711,0.07047,57.31699999999999,polo,trx-usdt,4.03912899,0.0,spot,trx,2022-08-15 00:47:21,2022,0
89464957,1660524441000.0,60094712,0.07047,3098.85,polo,trx-usdt,218.37595950000002,0.0,spot,trx,2022-08-15 00:47:21,2022,0
89464958,1660524449000.0,60094713,0.07038,213.39100000000002,polo,trx-usdt,15.01845858,0.0,spot,trx,2022-08-15 00:47:29,2022,0
89464959,1660524449000.0,60094714,0.07038,5496.966,polo,trx-usdt,386.87646708,0.0,spot,trx,2022-08-15 00:47:29,2022,0
89464960,1660524456000.0,60094715,0.07043,6958.173999999999,polo,trx-usdt,490.06419481999995,0.0,spot,trx,2022-08-15 00:47:36,2022,0
89464961,1660524463000.0,60094716,0.07042,173.596,polo,trx-usdt,12.22463032,0.0,spot,trx,2022-08-15 00:47:43,2022,0
89464962,1660524464000.0,60094717,0.07042,2.9010000000000002,polo,trx-usdt,0.20428842,0.0,spot,trx,2022-08-15 00:47:44,2022,0
89464963,1660524464000.0,60094718,0.07042,12.725000000000001,polo,trx-usdt,0.8960945,0.0,spot,trx,2022-08-15 00:47:44,2022,0
89464964,1660524465000.0,60094719,0.07042,9533.913,polo,trx-usdt,671.37815346,0.0,spot,trx,2022-08-15 00:47:45,2022,0
89464965,1660524478000.0,60094720,0.07045,4504.4529999999995,polo,trx-usdt,317.33871385,0.0,spot,trx,2022-08-15 00:47:58,2022,0
89464966,1660524493000.0,60094721,0.07044,4183.497,polo,trx-usdt,294.68552868,0.0,spot,trx,2022-08-15 00:48:13,2022,0
89464967,1660524500000.0,60094722,0.07043,170.378,polo,trx-usdt,11.99972254,0.0,spot,trx,2022-08-15 00:48:20,2022,0
89464968,1660524500000.0,60094723,0.07044,77.875,polo,trx-usdt,5.485515,0.0,spot,trx,2022-08-15 00:48:20,2022,0
89464969,1660524628000.0,60094724,0.07054,379.698,polo,trx-usdt,26.78389692,0.0,spot,trx,2022-08-15 00:50:28,2022,0
89464970,1660524637000.0,60094725,0.07051,531.614,polo,trx-usdt,37.48410314,0.0,spot,trx,2022-08-15 00:50:37,2022,0
89464971,1660524646000.0,60094726,0.07059,7402.124000000001,polo,trx-usdt,522.51593316,0.0,spot,trx,2022-08-15 00:50:46,2022,0
89464972,1660524655000.0,60094727,0.0706,337.147,polo,trx-usdt,23.8025782,0.0,spot,trx,2022-08-15 00:50:55,2022,0
89464973,1660524655000.0,60094728,0.0706,7779.643,polo,trx-usdt,549.2427958,0.0,spot,trx,2022-08-15 00:50:55,2022,0
89464974,1660524664000.0,60094729,0.07053,577.88,polo,trx-usdt,40.757876399999994,0.0,spot,trx,2022-08-15 00:51:04,2022,0
89464975,1660524673000.0,60094730,0.0705,591.9240000000001,polo,trx-usdt,41.730642,0.0,spot,trx,2022-08-15 00:51:13,2022,0
89464976,1660524682000.0,60094731,0.07056,16099.489000000001,polo,trx-usdt,1135.97994384,0.0,spot,trx,2022-08-15 00:51:22,2022,0
89464977,1660524690000.0,60094732,0.07059,5269.086,polo,trx-usdt,371.94478074,0.0,spot,trx,2022-08-15 00:51:30,2022,0
89464978,1660524717000.0,60094733,0.07065,4349.37,polo,trx-usdt,307.28299050000004,0.0,spot,trx,2022-08-15 00:51:57,2022,0
89464979,1660524728000.0,60094734,0.07053,46.88,polo,trx-usdt,3.3064464,0.0,spot,trx,2022-08-15 00:52:08,2022,0
89464980,1660524755000.0,60094735,0.07056,22.747999999999998,polo,trx-usdt,1.6050988799999997,0.0,spot,trx,2022-08-15 00:52:35,2022,0
89464981,1660524797000.0,60094736,0.07065,30.638999999999996,polo,trx-usdt,2.16464535,0.0,spot,trx,2022-08-15 00:53:17,2022,0
