uid,time,trade_id,price,amount,exchange,instrmnt,vol_dllr,sell2,Class,Asset,datetime,year,hour
89492895,1660527091000.0,60127719,63.694,0.5464049999999999,polo,ltc-usdt,34.80272007,0.0,spot,ltc,2022-08-15 01:31:31,2022,1
89492896,1660527092000.0,60127720,63.699,0.07235400006279533,polo,ltc-usdt,4.60887745,0.0,spot,ltc,2022-08-15 01:31:32,2022,1
89492897,1660527098000.0,60127721,63.695,1.451219000078499,polo,ltc-usdt,92.43539421,0.0,spot,ltc,2022-08-15 01:31:38,2022,1
89492898,1660527098000.0,60127722,63.695,1.456512,polo,ltc-usdt,92.77253184,0.0,spot,ltc,2022-08-15 01:31:38,2022,1
89492899,1660527100000.0,60127723,63.698,0.10054100003139815,polo,ltc-usdt,6.40426062,0.0,spot,ltc,2022-08-15 01:31:40,2022,1
89492900,1660527103000.0,60127724,63.698,0.0004120000627963201,polo,ltc-usdt,0.02624358,0.0,spot,ltc,2022-08-15 01:31:43,2022,1
89492901,1660527103000.0,60127725,63.71,0.24459199999999998,polo,ltc-usdt,15.58295632,0.0,spot,ltc,2022-08-15 01:31:43,2022,1
89492902,1660527103000.0,60127726,63.704,0.3872770000313952,polo,ltc-usdt,24.67109401,0.0,spot,ltc,2022-08-15 01:31:43,2022,1
89492903,1660527105000.0,60127727,63.705,0.462928,polo,ltc-usdt,29.49082824,0.0,spot,ltc,2022-08-15 01:31:45,2022,1
89492904,1660527108000.0,60127728,63.82,1.131465,polo,ltc-usdt,72.2100963,0.0,spot,ltc,2022-08-15 01:31:48,2022,1
89492905,1660527112000.0,60127729,63.877,0.9311050000782753,polo,ltc-usdt,59.47619409,0.0,spot,ltc,2022-08-15 01:31:52,2022,1
89492906,1660527114000.0,60127730,63.902,0.04671400003129792,polo,ltc-usdt,2.9851180299999998,0.0,spot,ltc,2022-08-15 01:31:54,2022,1
89492907,1660527121000.0,60127731,63.842,0.07980000000000001,polo,ltc-usdt,5.0945916,0.0,spot,ltc,2022-08-15 01:32:01,2022,1
89492908,1660527121000.0,60127732,63.793,1.0070420000627027,polo,ltc-usdt,64.24223031,0.0,spot,ltc,2022-08-15 01:32:01,2022,1
89492909,1660527121000.0,60127733,63.793,0.07981099995297289,polo,ltc-usdt,5.09138312,0.0,spot,ltc,2022-08-15 01:32:01,2022,1
89492910,1660527121000.0,60127734,63.696,1.0640669999686008,polo,ltc-usdt,67.77681163,0.0,spot,ltc,2022-08-15 01:32:01,2022,1
89492911,1660527130000.0,60127735,63.698,0.8128329999372036,polo,ltc-usdt,51.77583643,0.0,spot,ltc,2022-08-15 01:32:10,2022,1
89492912,1660527136000.0,60127736,63.82,0.044902,polo,ltc-usdt,2.86564564,0.0,spot,ltc,2022-08-15 01:32:16,2022,1
89492913,1660527138000.0,60127737,63.822,0.38672199993732564,polo,ltc-usdt,24.68137148,0.0,spot,ltc,2022-08-15 01:32:18,2022,1
89492914,1660527147000.0,60127738,63.821,0.2543639999373247,polo,ltc-usdt,16.23376484,0.0,spot,ltc,2022-08-15 01:32:27,2022,1
89492915,1660527151000.0,60127739,63.763,0.11481699998431692,polo,ltc-usdt,7.32107637,0.0,spot,ltc,2022-08-15 01:32:31,2022,1
89492916,1660527152000.0,60127740,63.682,0.9010969999371878,polo,ltc-usdt,57.38365915,0.0,spot,ltc,2022-08-15 01:32:32,2022,1
89492917,1660527158000.0,60127741,63.754,0.11726299996862942,polo,ltc-usdt,7.4759853,0.0,spot,ltc,2022-08-15 01:32:38,2022,1
89492918,1660527161000.0,60127742,63.755,0.400978,polo,ltc-usdt,25.56435239,0.0,spot,ltc,2022-08-15 01:32:41,2022,1
89492919,1660527162000.0,60127743,63.755,0.006197000078425221,polo,ltc-usdt,0.39508974,0.0,spot,ltc,2022-08-15 01:32:42,2022,1
89492920,1660527162000.0,60127744,63.755,0.02118500007842522,polo,ltc-usdt,1.35064968,0.0,spot,ltc,2022-08-15 01:32:42,2022,1
89492921,1660527166000.0,60127745,63.844,0.028194000062652713,polo,ltc-usdt,1.80001774,0.0,spot,ltc,2022-08-15 01:32:46,2022,1
89492922,1660527178000.0,60127746,63.672,0.850079000031411,polo,ltc-usdt,54.12623009,0.0,spot,ltc,2022-08-15 01:32:58,2022,1
89492923,1660527180000.0,60127747,63.807,0.10938299998432773,polo,ltc-usdt,6.97940108,0.0,spot,ltc,2022-08-15 01:33:00,2022,1
